  longitude  | latitude  |       speed        
  -122.66635 | 45.505377 |               11.4
 -122.666858 | 45.505048 |               10.6
 -122.667372 |  45.50472 |               10.8
 -122.667493 | 45.504622 |               10.6
 -122.667005 | 45.504938 |               10.2
 -122.666542 |  45.50524 |                9.8
 -122.666052 | 45.505557 |               10.4
  -122.66635 | 45.505382 |               12.2
 -122.666928 | 45.505008 |               12.2
 -122.667492 | 45.504643 |               11.8
 -122.666275 | 45.505447 |                9.6
 -122.666718 | 45.505158 |                9.2
 -122.667153 | 45.504877 |                9.2
  -122.66758 |   45.5046 |                  9
 -122.667743 | 45.504457 |                  8
 -122.667343 | 45.504717 |                8.6
 -122.666935 | 45.504982 |                8.4
 -122.666532 | 45.505242 |                8.6
 -122.666113 | 45.505512 |                8.8
 -122.667602 | 45.504568 |                 11
 -122.667107 | 45.504888 |               10.4
  -122.66664 | 45.505188 |                9.8
 -122.666177 | 45.505492 |                9.6
 -122.666368 | 45.505387 |               10.8
 -122.666872 | 45.505067 |               10.6
  -122.66735 |  45.50476 |                 10
 -122.667833 | 45.504447 |                 10
 -122.666275 |  45.50544 |               10.6
 -122.666753 | 45.505132 |                 10
 -122.667208 | 45.504833 |                9.6
 -122.667667 | 45.504533 |                9.8
 -122.667722 | 45.504497 |               11.2
  -122.66722 |  45.50482 |               10.6
 -122.666735 | 45.505133 |                 10
 -122.666253 | 45.505445 |               10.2
 -122.666458 |  45.50534 |                 11
  -122.66695 | 45.505023 |               10.4
 -122.667395 | 45.504732 |                9.4
 -122.667832 | 45.504445 |                9.2
 -122.667477 | 45.504705 |                9.8
 -122.667045 | 45.504985 |                  9
 -122.666613 | 45.505265 |                  9
 -122.666173 | 45.505545 |                9.2
 -122.666237 | 45.505482 |              12.25
 -122.666718 | 45.505167 |               11.2
 -122.667178 | 45.504868 |                7.6
 -122.667648 | 45.504567 |                  8
 -122.667838 | 45.504442 |  6.666666666666667
 -122.667772 | 45.504465 |              18.25
 -122.667192 | 45.504838 | 10.333333333333334
 -122.666632 | 45.505193 |                 12
 -122.666057 | 45.505565 |                9.4
 -122.667738 | 45.504447 |               14.4
 -122.667047 | 45.504897 |               14.6
 -122.666393 | 45.505322 |               13.6
 -122.666307 | 45.505435 |                9.6
 -122.666753 | 45.505145 |                9.4
 -122.667197 | 45.504858 |                9.2
  -122.66762 | 45.504582 |                  9
 -122.666362 | 45.505378 |               11.2
 -122.666877 | 45.505047 |                 11
 -122.667373 | 45.504727 |               10.4
 -122.666278 | 45.505435 |               13.4
 -122.666882 | 45.505047 |               12.8
 -122.667437 |  45.50469 |               11.6
 -122.667465 | 45.504638 |                 12
 -122.666917 | 45.504993 |               11.4
 -122.666402 | 45.505327 |               10.8
 -122.667805 | 45.504433 |               13.4
 -122.667172 |  45.50485 |               13.2
 -122.666562 | 45.505248 |                 13
 -122.666252 | 45.505475 |                 14
 -122.666943 | 45.505025 |               14.6
  -122.66764 | 45.504577 |               14.8
(74 rows)

