  longitude  | latitude  |        speed        
-------------+-----------+---------------------
 -122.604612 | 45.359722 |                   0
 -122.604612 | 45.359722 |                   0
 -122.604612 | 45.359722 |                   0
 -122.604612 | 45.359722 |                   0
 -122.604612 | 45.359722 |                   0
 -122.604612 | 45.359722 |                   0
 -122.604612 | 45.359722 |                   0
 -122.604612 | 45.359722 |                   0
 -122.604612 | 45.359722 |                   0
 -122.604612 | 45.359722 |                   0
 -122.604612 | 45.359722 |                   0
 -122.604612 | 45.359722 |                   0
 -122.604612 | 45.359722 |                   0
 -122.604612 | 45.359722 |                   0
 -122.604612 | 45.359722 |                   0
 -122.604612 | 45.359722 |                   0
 -122.604612 | 45.359722 |                   0
 -122.604612 | 45.359722 |                   0
 -122.604612 | 45.359722 |                   0
 -122.604612 | 45.359722 |                   0
 -122.604612 | 45.359722 |                   0
 -122.604612 | 45.359722 |                   0
 -122.604612 | 45.359722 |                   0
 -122.604612 | 45.359722 |                   0
 -122.604612 | 45.359722 |                   0
 -122.604612 | 45.359722 |                   0
 -122.604612 | 45.359722 |                   0
 -122.604612 | 45.359722 |                   0
 -122.604612 | 45.359722 |                   0
 -122.604612 | 45.359722 |                   0
 -122.604612 | 45.359722 |                   0
 -122.604612 | 45.359722 |                   0
 -122.604612 | 45.359722 |                   0
 -122.604612 | 45.359722 |                   0
 -122.604612 | 45.359722 |                   0
 -122.604612 | 45.359722 |                   0
 -122.604612 | 45.359722 |                   0
 -122.604612 | 45.359722 |                   0
 -122.604612 | 45.359722 |                   0
 -122.604612 | 45.359722 |                   0
 -122.604627 |  45.35972 |                 0.5
  -122.60468 |  45.35969 |                1.75
 -122.604857 | 45.359577 |                 2.5
 -122.604965 | 45.359523 |                   2
 -122.605045 |  45.35949 |                 1.4
  -122.60512 | 45.359457 |                 1.4
   -122.6053 | 45.359433 |                 2.8
 -122.605538 | 45.359688 |   5.666666666666667
 -122.605715 | 45.359888 |                 5.2
 -122.605605 |   45.3601 |                 5.2
 -122.605108 | 45.360295 |                10.2
  -122.60447 | 45.360635 |                12.8
   -122.6038 | 45.361063 |                14.4
 -122.603237 | 45.361537 |                13.2
 -122.602847 | 45.361912 |                 9.6
 -122.602655 |   45.3621 |                 4.2
  -122.60264 | 45.362112 |  0.3333333333333333
  -122.60264 | 45.362113 |                   0
 -122.602635 | 45.362117 |                   2
 -122.602463 | 45.362292 |                   4
 -122.602148 |   45.3626 |                 8.2
 -122.601805 | 45.362945 |                 9.4
  -122.60142 | 45.363362 |                  11
  -122.60108 | 45.363783 |                10.6
 -122.600853 |  45.36423 |                10.4
 -122.600712 | 45.364738 |                11.6
 -122.600673 |   45.3653 |                12.2
 -122.600713 |  45.36578 |                10.6
 -122.600717 | 45.366313 |                11.6
 -122.600587 | 45.366617 |                 8.5
 -122.599845 | 45.366712 |   9.833333333333334
 -122.599402 | 45.366365 |                  11
 -122.599745 | 45.365905 |                12.4
 -122.600552 | 45.365648 |                14.6
 -122.601518 | 45.365377 |                16.4
   -122.6025 | 45.365095 |                16.4
 -122.603503 | 45.364815 |                16.8
 -122.604502 | 45.364533 |                16.6
 -122.605528 | 45.364243 |                17.2
  -122.60661 | 45.363965 |                18.2
 -122.607593 | 45.363755 |                12.6
 -122.608282 | 45.363632 |                  11
 -122.608858 | 45.363555 |                 9.4
 -122.609293 | 45.363512 |                 6.8
 -122.609685 | 45.363483 |                   6
 -122.610098 | 45.363507 |                 6.6
 -122.610438 | 45.363868 |                 9.8
 -122.610848 | 45.364337 |                12.4
 -122.611293 |  45.36481 |                12.6
  -122.61183 | 45.365298 |                  14
  -122.61254 | 45.365808 |                  16
 -122.613267 | 45.366252 |                14.8
 -122.613753 | 45.366498 |                   8
 -122.614195 | 45.366677 |                 1.8
 -122.614785 | 45.366913 |                10.6
  -122.61557 | 45.367227 |                14.4
 -122.616427 |  45.36764 |                16.2
 -122.617295 |  45.36815 |                17.8
 -122.618075 |  45.36861 |                15.4
 -122.618507 | 45.368865 |                 8.2
    -122.619 | 45.369155 |                2.75
  -122.61957 |  45.36949 |                  12
 -122.620262 | 45.369872 |                11.4
  -122.62112 | 45.370185 |                15.2
 -122.621977 | 45.370478 |                  15
 -122.622553 | 45.370668 |                 9.8
