  longitude  | latitude  |        speed         
-------------+-----------+----------------------
 -122.801723 |  45.49037 |                  2.2
 -122.485935 | 45.492525 |                    0
 -122.485828 | 45.492497 |                  2.5
 -122.485473 | 45.492407 |                  6.2
  -122.48498 | 45.492338 |    6.666666666666667
  -122.48437 | 45.492222 |                   10
  -122.48368 | 45.492083 |                   14
 -122.482923 | 45.491927 |                 12.2
  -122.48214 | 45.491728 |                   13
  -122.48135 | 45.491562 |                 12.8
  -122.48057 | 45.491403 |                 12.6
 -122.479718 | 45.491232 |                 13.8
 -122.478822 | 45.491052 |                 14.6
 -122.477928 |  45.49087 |                 14.2
 -122.477098 | 45.490703 |                 13.2
 -122.476463 | 45.490562 |                  9.8
 -122.476112 | 45.490462 |                  5.2
 -122.475883 | 45.490392 |   0.3384615384615385
 -122.475407 | 45.490242 |                  8.2
 -122.475018 | 45.490117 |                    6
 -122.473988 | 45.489825 |                  2.3
 -122.473165 | 45.489638 |                 13.6
 -122.472208 | 45.489527 |                 15.2
  -122.47119 | 45.489538 |                 15.8
  -122.47018 | 45.489673 |                 15.8
 -122.469227 | 45.489928 |                 15.8
 -122.468353 |   45.4903 |                 15.8
 -122.467545 | 45.490753 |                   16
 -122.466742 | 45.491242 |                 16.6
 -122.465928 |  45.49174 |                 16.6
 -122.465127 | 45.492227 |                 16.4
 -122.464337 | 45.492708 |                   16
 -122.463578 |  45.49317 |                 15.4
 -122.462865 | 45.493605 |                 14.6
 -122.462182 | 45.494018 |                 13.8
  -122.46151 | 45.494428 |                 13.8
 -122.460842 | 45.494835 |                 13.6
 -122.460183 | 45.495238 |                 13.6
 -122.459513 | 45.495642 |                 13.6
 -122.458838 | 45.496057 |                 13.8
 -122.458155 |  45.49646 |                 13.8
 -122.457417 | 45.496802 |                 13.8
 -122.456625 |  45.49698 |                 12.6
  -122.45596 | 45.497018 |                  9.8
  -122.45547 | 45.497022 |                  7.4
 -122.455142 |  45.49702 |                  4.6
 -122.455032 | 45.497018 |                  1.8
 -122.453882 | 45.497017 |                  9.5
  -122.45308 |  45.49702 |                 12.6
 -122.452223 | 45.497025 |                 13.2
 -122.451358 | 45.497028 |                 13.6
 -122.450502 |  45.49703 |                   13
 -122.449647 | 45.497038 |                 13.4
 -122.448782 | 45.497042 |                 13.4
  -122.44795 | 45.497047 |                 12.8
 -122.447133 | 45.497055 |                 12.6
  -122.44628 | 45.497062 |                 13.4
 -122.445415 | 45.497062 |                 13.4
 -122.444622 | 45.497055 |                 11.8
