  longitude  | latitude  |        speed        
-------------+-----------+---------------------
 -122.670665 | 45.532068 |                 2.4
  -122.67074 | 45.532135 |                   2
 -122.671067 | 45.532433 |                 8.6
 -122.672623 | 45.502942 |  1.2727272727272727
  -122.67153 | 45.532833 |                11.2
 -122.672575 | 45.502853 |                 2.2
 -122.671993 | 45.533307 |                12.8
 -122.672438 | 45.533822 |                13.2
 -122.672893 |  45.53434 |                13.4
  -122.67332 | 45.534883 |                13.6
 -122.673742 | 45.535435 |                13.8
 -122.674133 | 45.535977 |                13.2
 -122.672505 | 45.502723 |                 0.5
 -122.674365 | 45.536495 |                  12
 -122.672312 | 45.502415 |                 7.4
  -122.67442 | 45.536982 |                10.6
  -122.67206 | 45.502017 |                 9.8
 -122.674423 |  45.53743 |                 9.8
 -122.674435 | 45.537863 |                 9.6
 -122.671853 | 45.501537 |                11.2
  -122.67175 |  45.50099 |                12.4
 -122.674445 | 45.538317 |                  10
 -122.674462 | 45.538777 |                10.2
 -122.671763 | 45.500448 |                  12
 -122.671785 | 45.499952 |                11.2
 -122.674662 | 45.539182 |                 9.4
 -122.675047 | 45.539452 |                 8.4
 -122.671803 | 45.499552 |                   9
 -122.671815 | 45.499382 |                   4
 -122.675522 | 45.539715 |                 9.4
 -122.676047 | 45.539983 |                  10
   -122.6766 | 45.540255 |                10.4
  -122.67701 |   45.5406 |                  10
   -122.6771 | 45.541052 |                  10
 -122.677125 | 45.541567 |                11.4
 -122.677123 |  45.54215 |                  13
 -122.677117 | 45.542737 |                12.8
 -122.677088 |  45.54328 |                  12
 -122.677132 | 45.543798 |                11.4
 -122.671823 | 45.499122 |  0.6222222222222222
 -122.671838 | 45.498838 |                 6.4
 -122.677213 | 45.544218 |                   9
 -122.677308 |   45.5445 |                 6.4
  -122.67185 | 45.498633 |                 4.6
 -122.677555 | 45.544807 |                 7.8
 -122.671857 | 45.498493 |                 3.2
  -122.67815 |    45.545 |                  10
 -122.671862 | 45.498458 |                 0.8
 -122.671862 | 45.498458 |                   0
 -122.678837 | 45.545192 |                11.8
 -122.671863 | 45.498402 |                 1.5
 -122.679687 | 45.545417 |                14.2
 -122.671865 |  45.49824 |                 3.6
  -122.68062 | 45.545662 |                15.4
 -122.671877 | 45.497982 |                 5.8
 -122.681595 | 45.545935 |                16.2
 -122.671887 |  45.49765 |                 7.4
   -122.6719 | 45.497288 |                   8
 -122.682418 | 45.546372 |                  16
 -122.683123 | 45.546895 |                  16
 -122.671908 | 45.496953 |                 7.6
 -122.671912 | 45.496777 |                 3.8
 -122.683858 | 45.547418 |                16.2
 -122.671917 | 45.496535 |                 5.4
 -122.684593 | 45.547958 |                16.4
  -122.67192 | 45.496272 |                   6
  -122.68535 | 45.548508 |                  17
  -122.68611 | 45.549063 |                  17
  -122.68689 |  45.54963 |                17.4
 -122.687695 | 45.550208 |                17.6
 -122.671925 | 45.496022 |  1.4736842105263157
 -122.688488 | 45.550785 |                17.8
 -122.671942 | 45.495632 |   7.166666666666667
  -122.68921 | 45.551373 |                  17
  -122.67196 |  45.49518 |               12.75
 -122.689872 | 45.551977 |                16.8
 -122.671977 | 45.494745 |                 9.8
 -122.690505 | 45.552553 |                15.8
 -122.672035 | 45.494463 |                 6.2
 -122.691103 | 45.553117 |                15.6
  -122.69157 |  45.55371 |                14.8
  -122.69194 | 45.554332 |                14.8
 -122.692197 | 45.554913 |                13.2
 -122.692355 |  45.55545 |                  12
 -122.692598 | 45.555863 |                 9.8
  -122.69283 | 45.556247 |                 9.2
  -122.67201 | 45.493968 |                 1.6
 -122.693062 | 45.556673 |                10.2
 -122.672025 | 45.493582 |                 8.6
  -122.69322 | 45.557177 |                11.4
 -122.672038 | 45.493325 |                 5.8
 -122.693335 | 45.557705 |                11.8
  -122.67203 | 45.493282 |                   1
 -122.693445 | 45.558233 |                11.8
  -122.67213 | 45.493185 |                 2.6
 -122.693593 | 45.558737 |                11.2
