  longitude  | latitude  |        speed         
-------------+-----------+----------------------
 -122.427262 | 45.502253 |                  6.8
 -122.427705 | 45.502225 |                  6.8
 -122.427905 | 45.502253 |                  3.2
 -122.427977 | 45.502407 |                 4.25
 -122.427963 | 45.502673 |                  6.2
 -122.427777 | 45.502877 |                  5.2
  -122.42739 | 45.502813 |                  6.4
 -122.427002 | 45.502708 |                  6.8
 -122.426755 | 45.502618 |                  4.6
  -122.42622 | 45.503127 |  0.39565217391304347
 -122.426193 | 45.503398 |                    6
 -122.426125 | 45.503655 |                  5.6
 -122.426043 | 45.503903 |                  5.6
 -122.426007 | 45.504158 |                  5.6
 -122.426003 | 45.504322 |                  3.4
 -122.426007 | 45.504337 |  0.05714285714285714
 -122.426007 |  45.50449 |                  3.2
 -122.425993 | 45.504708 |                  4.8
 -122.425857 |  45.50486 |   3.1666666666666665
 -122.425395 | 45.504843 |                 8.75
 -122.424655 |  45.50486 |                 11.4
 -122.423763 | 45.504883 |                 13.8
 -122.422843 | 45.504908 |                   14
 -122.422032 |  45.50483 |                 12.6
 -122.421517 | 45.504765 |                    8
 -122.421375 |  45.50475 |                  2.2
 -122.420605 | 45.504683 |                1.525
 -122.419925 | 45.504688 |                 10.4
 -122.419385 | 45.504702 |                  8.2
 -122.418945 | 45.504705 |                  6.8
 -122.418572 |  45.50471 |                  5.8
 -122.418282 | 45.504715 |                  4.4
 -122.418137 | 45.504717 |                  2.2
 -122.418093 | 45.504717 |                  0.6
 -122.417802 | 45.504722 |                  4.6
 -122.417355 | 45.504728 |                    7
 -122.416817 | 45.504733 |                  8.2
 -122.416618 | 45.504728 |                    3
 -122.416325 | 45.504728 |                  4.6
 -122.415703 | 45.504735 |                  9.6
 -122.415287 | 45.504738 |                  6.2
 -122.414557 | 45.504758 |   0.8769230769230769
 -122.414125 |  45.50476 |                  6.6
 -122.413643 | 45.504745 |                  7.4
 -122.413167 | 45.504753 |                  7.4
 -122.412403 | 45.504762 |                   12
 -122.411535 | 45.504767 |                 13.4
 -122.410652 | 45.504763 |                 13.6
 -122.409637 | 45.504763 |                 15.8
