  longitude  | latitude  |        speed        
-------------+-----------+---------------------
 -122.642407 |  45.51211 |                11.8
 -122.643173 | 45.512113 |                11.8
 -122.643885 | 45.512115 |                10.8
 -122.644587 | 45.512125 |                  11
 -122.645247 | 45.512167 |                  10
 -122.645875 | 45.512233 |                  10
 -122.646522 | 45.512228 |                 9.8
 -122.647137 | 45.512227 |                 9.6
  -122.64779 | 45.512227 |                10.2
 -122.648468 | 45.512228 |                10.4
 -122.649038 | 45.512237 |                 6.8
 -122.649555 | 45.512237 |                   8
 -122.650073 |  45.51224 |                   8
 -122.650597 | 45.512242 |                 8.2
 -122.651112 | 45.512242 |                 7.8
  -122.65163 | 45.512243 |                   8
 -122.652127 | 45.512243 |                 7.8
  -122.65255 | 45.512247 |                 6.6
 -122.652942 | 45.512255 |                   6
 -122.653325 |  45.51226 |                 5.8
 -122.653652 | 45.512343 |                 5.4
 -122.653738 | 45.512562 |                 4.8
 -122.653707 | 45.512778 |                 4.8
 -122.653753 | 45.512957 |                   5
 -122.654005 |    45.513 |                 3.4
 -122.654308 |  45.51301 |                 4.4
  -122.65446 | 45.513012 |                 2.4
 -122.654898 |  45.51299 | 0.35555555555555557
 -122.655458 | 45.512985 |                 8.4
  -122.65608 | 45.512982 |                 9.6
  -122.65675 | 45.512982 |                10.4
 -122.657392 | 45.512977 |                 9.8
 -122.658008 | 45.512977 |                 9.6
 -122.658642 | 45.512978 |                 9.8
 -122.659263 | 45.512978 |                 9.6
 -122.659888 | 45.512987 |                 9.6
 -122.660438 |  45.51299 |                 8.4
 -122.660965 |  45.51297 |                 8.2
 -122.661588 | 45.512963 |                 9.8
(39 rows)

