  longitude  | latitude  |        speed        
-------------+-----------+---------------------
 -122.679208 | 45.517953 |                 5.8
 -122.679063 | 45.518162 |                 5.2
 -122.678933 | 45.518402 |                 5.6
 -122.678808 |  45.51864 |                 5.6
 -122.678715 | 45.518842 |                 4.6
 -122.678702 | 45.518907 |                 1.2
 -122.678595 | 45.519097 |                 4.8
   -122.6784 | 45.519363 |                 6.4
 -122.678315 | 45.519517 |                 3.4
 -122.678187 | 45.519233 |                 4.4
 -122.678198 | 45.519118 |                   2
 -122.678317 | 45.518625 |  0.9333333333333333
 -122.678372 | 45.518455 |                 3.4
 -122.678372 |  45.51837 |  0.6666666666666666
 -122.678465 | 45.518077 |                 6.8
 -122.679125 | 45.518003 |                 5.8
 -122.679025 |  45.51815 |                   3
 -122.678833 | 45.518627 |                 3.8
 -122.678722 | 45.518828 |                 3.8
 -122.678625 | 45.519015 |                 4.2
 -122.678527 | 45.519195 |                 4.4
 -122.678418 | 45.519397 |                 4.6
 -122.679253 | 45.518168 |                   8
 -122.679085 | 45.518513 |                   8
 -122.678945 | 45.518772 |                 6.2
   -122.6789 | 45.518843 |                 1.6
 -122.678898 | 45.518843 |                   0
 -122.678898 | 45.518843 |                   0
 -122.678897 | 45.518845 |                   0
 -122.678798 | 45.519032 |                 4.4
 -122.678667 | 45.519278 |                 5.8
 -122.678608 | 45.519393 |                 2.8
 -122.678548 |  45.51952 |                 2.8
 -122.679192 |  45.51799 |                   5
  -122.67915 | 45.518073 |                 1.6
 -122.679097 | 45.518167 |                 2.8
 -122.678973 |  45.51839 |                 5.4
 -122.678845 | 45.518627 |                 5.4
 -122.678782 | 45.518752 |                 2.4
 -122.678782 | 45.518757 |                   0
 -122.678782 | 45.518757 |                   0
 -122.678718 | 45.518878 |                 3.6
 -122.678585 |  45.51913 |                   6
 -122.678478 | 45.519335 |                 4.4
  -122.67839 | 45.519513 |                 4.4
  -122.67782 | 45.518863 |                   6
  -122.67797 | 45.518552 |                 7.2
 -122.678055 | 45.518352 |                 4.2
 -122.679158 |  45.51802 |                 6.8
 -122.679035 | 45.518243 |                 5.2
 -122.678863 | 45.518538 |                 7.2
 -122.678715 | 45.518822 |                 6.4
 -122.678657 |  45.51894 |                 2.6
 -122.678657 | 45.518942 |                   0
 -122.678657 | 45.518942 |                   0
 -122.678657 | 45.518942 |                   0
 -122.678632 | 45.518983 |                   2
 -122.678428 | 45.519243 |                 6.6
 -122.678285 | 45.519487 |                 5.6
 -122.679042 | 45.518012 |  0.9714285714285714
 -122.678935 |   45.5182 |                 3.8
 -122.678913 | 45.518237 |                   1
 -122.678822 | 45.518412 |                 4.4
 -122.678723 |  45.51863 |                   5
 -122.678632 | 45.518835 |                 4.4
  -122.67862 |  45.51888 |                 0.6
  -122.67862 |  45.51888 |                   0
 -122.678613 | 45.518902 |                 2.5
 -122.678502 | 45.519112 |                 5.2
  -122.67837 | 45.519348 |                 5.6
 -122.679167 | 45.518065 |                2.56
  -122.67899 | 45.518403 |                   8
 -122.678833 | 45.518698 |                 6.8
 -122.678733 |  45.51889 |                 4.2
 -122.678625 | 45.519092 |                   5
 -122.678508 | 45.519318 |                 5.2
 -122.678405 | 45.519515 |                 4.6
 -122.679248 | 45.518097 |                   6
  -122.67915 | 45.518255 |                 3.6
 -122.679047 | 45.518598 |               1.025
 -122.678945 | 45.518827 |                 5.2
 -122.678843 | 45.519013 |                 4.2
 -122.678798 |  45.51905 |                 0.1
 -122.678653 | 45.519277 |                 5.8
 -122.678457 | 45.519613 |                   8
 -122.679125 | 45.518148 |                 8.6
 -122.678927 | 45.518525 |                 8.8
 -122.678788 | 45.518798 |                 6.4
 -122.678742 |  45.51889 |                 2.2
 -122.678732 | 45.518915 | 0.08571428571428572
 -122.678608 | 45.519122 |                 4.8
 -122.678412 | 45.519473 |                 8.2
 -122.679007 | 45.518073 |                 3.6
 -122.678875 | 45.518308 |                 5.6
 -122.678747 | 45.518545 |                 5.6
 -122.678655 | 45.518725 |                 4.2
 -122.678638 | 45.518775 |                 1.2
 -122.678642 | 45.518777 |                 0.5
 -122.678628 | 45.518817 |                   1
  -122.67858 |  45.51893 |                 2.6
 -122.678517 | 45.519055 |                   3
 -122.678463 | 45.519135 |                   2
  -122.67838 | 45.519223 |                 2.2
 -122.679068 | 45.517977 |                 6.4
 -122.678292 | 45.519352 |                 3.2
  -122.67894 | 45.518188 |                   5
 -122.678917 | 45.518222 |                 0.6
 -122.678827 | 45.518377 |                   4
 -122.678727 | 45.518613 |                 5.4
 -122.678703 | 45.518737 |                 2.4
  -122.67869 | 45.518798 |                0.16
 -122.678568 | 45.519042 |                   6
  -122.67843 | 45.519285 |                 5.6
 -122.678365 | 45.519398 |                 2.6
 -122.678348 | 45.519412 |                 0.1
 -122.679303 | 45.517962 |                   6
 -122.679235 | 45.518058 |                 1.8
  -122.67901 | 45.518567 |                 3.1
 -122.678895 | 45.518797 |                   5
  -122.67885 |  45.51887 |                 1.8
 -122.678702 | 45.519115 |                 6.2
 -122.678555 |  45.51938 |                   6
 -122.678477 | 45.519512 |                 3.2
 -122.678003 | 45.519148 |  0.9333333333333333
 -122.678177 |  45.51886 |                 6.8
 -122.678243 |  45.51857 |                 6.2
  -122.67838 | 45.518315 |                   6
 -122.678592 | 45.517997 |                 7.8
(128 rows)

